log_budget,runtime,vote_average,vote_count,release_month,star_power,director_power,composer_power,log_revenue,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Foreign,Genre_Heist,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Science Fiction,Genre_TV Movie,Genre_Thriller,Genre_War,Genre_Western
17.216707972959764,81.0,7.7,5415.0,10,218756983.03110048,411393253.6666667,0.0,19.73857322141759,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.989897843244528,104.0,6.9,2413.0,12,110278660.5845679,232495909.0,195091783.08955225,19.386893380288626,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16.588099342704055,127.0,6.1,34.0,12,74553125.51923077,0.0,0.0,18.215526375166277,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.909855136853043,170.0,7.7,1886.0,12,92519570.45689817,103664545.7,134754006.73333332,19.04895238125583,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17.370858648025116,106.0,5.5,174.0,12,20659060.25,51788607.4,0.0,17.979850164885512,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17.87595358575207,130.0,6.6,1194.0,11,145050303.8462963,233710619.0,129539603.57142857,19.679692817483186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17.9426449591384,106.0,6.5,199.0,11,115726917.11783989,73749547.15384616,0.0,18.496525393636873,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.599700214609808,192.0,7.1,72.0,12,70002027.60380118,80756450.23529412,350724333.33898306,16.43157455539407,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.400478046838927,119.0,5.7,137.0,12,43447108.277777776,68125036.875,0.0,16.119826452257225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.76675429577647,178.0,7.8,1343.0,11,129424152.14139195,110592271.66666667,0.0,18.570069038747533,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
